Harry
Hero,Games,WR%,Avg MVP,Avg KDA,Analysis
Paradox,198,55.6%,5.7,6.59,
Kelvin,197,63.5%,5.8,6.81,
Bebop,54,51.9%,N/A,5.38,
Lash,32,46.9%,6.3,3.94,
Viscous,30,46.7%,6.0,4.03,
Seven,28,67.9%,3.0,4.72,
The Doorman,14,57.1%,6.5,7.1,
Mina,14,28.6%,7.9,4.69,
Pocket,14,21.4%,9.0,4.2,
Mo & Krill,12,50.0%,N/A,3.86,
Shiv,12,41.7%,N/A,3.02,
Dynamo,9,44.4%,N/A,2.86,
Mirage,6,16.7%,8.5,1.53,
Rem,5,40.0%,6.0,6.92,
Ivy,4,25.0%,7.5,2.61,
Holliday,4,25.0%,10.3,3.4,
Warden,3,66.7%,6.0,5.8,
Abrams,3,66.7%,N/A,1.72,
Vindicta,3,66.7%,N/A,1.73,
Haze,3,0.0%,N/A,0.77,
Yamato,2,50.0%,6.5,3.68,
Infernus,2,50.0%,12.0,1.38,
Wraith,1,0.0%,N/A,0.41,

